attendance,assignment_score,internal_marks,Extracurricular Activities,final_marks
77,16,29.0,Yes,47.0
83,14,25.0,Yes,35.0
85,14,21.0,Yes,38.0
84,15,22.0,Yes,28.0
100,20,29.0,Yes,59.0
88,11,13.0,No,54.0
74,10,10.0,Yes,57.0
60,10,13.0,Yes,49.0
84,12,21.0,Yes,48.0
66,17,29.0,No,43.0
68,17,26.0,Yes,58.0
83,13,20.0,Yes,45.0
60,15,21.0,Yes,25.0
67,12,18.0,No,26.0
83,12,16.0,Yes,49.0
70,17,24.0,No,35.0
76,18,28.0,No,46.0
67,14,20.0,Yes,53.0
94,20,30.0,No,37.0
94,18,27.0,No,42.0
92,20,30.0,Yes,42.0
64,14,22.0,Yes,36.0
98,20,30.0,Yes,31.0
100,20,27.0,Yes,34.0
87,14,20.0,No,30.0
66,15,22.0,No,43.0
68,12,18.0,Yes,43.0
67,12,19.0,Yes,40.0
71,12,18.0,Yes,31.0
93,13,17.0,No,56.0
92,16,25.0,Yes,39.0
82,13,19.0,No,70.0
83,16,23.0,No,54.0
96,16,22.0,No,24.0
94,14,20.0,No,57.0
99,15,21.0,Yes,38.0
81,13,22.0,Yes,36.0
86,14,20.0,Yes,42.0
94,13,21.0,No,56.0
60,15,19.0,No,50.0
94,13,21.0,Yes,47.0
96,12,19.0,No,37.0
73,17,23.0,No,54.0
62,17,24.0,No,35.0
60,18,26.0,Yes,55.0
64,12,18.0,Yes,48.0
85,14,20.0,Yes,39.0
73,16,24.0,No,66.0
98,13,21.0,Yes,54.0
86,17,24.0,Yes,51.0
68,16,25.0,Yes,46.0
74,16,24.0,No,34.0
74,19,23.0,No,45.0
85,17,24.0,No,61.0
72,15,24.0,No,31.0
91,14,19.0,No,51.0
98,15,20.0,Yes,59.0
91,12,20.0,Yes,59.0
63,10,15.0,No,36.0
89,16,27.0,No,40.0
96,19,28.0,Yes,46.0
82,14,23.0,No,50.0
98,20,28.0,No,58.0
74,14,16.0,No,43.0
88,9,15.0,No,54.0
72,14,22.0,Yes,42.0
91,18,27.0,Yes,54.0
66,11,19.0,No,53.0
81,16,26.0,No,35.0
87,13,21.0,Yes,55.0
61,16,24.0,No,31.0
65,17,23.0,Yes,57.0
87,17,26.0,No,43.0
87,15,23.0,Yes,40.0
79,11,21.0,Yes,42.0
89,17,26.0,No,49.0
70,18,25.0,No,66.0
87,12,19.0,Yes,57.0
84,12,21.0,No,34.0
98,18,30.0,Yes,35.0
92,14,21.0,No,26.0
60,12,18.0,No,48.0
86,16,21.0,No,43.0
72,13,18.0,Yes,51.0
100,15,23.0,Yes,40.0
62,14,18.0,No,41.0
98,14,25.0,Yes,30.0
65,18,26.0,No,56.0
67,8,12.0,Yes,39.0
86,17,26.0,No,37.0
68,18,29.0,Yes,55.0
96,13,20.0,Yes,30.0
92,18,25.0,Yes,50.0
83,12,19.0,Yes,37.0
74,13,22.0,Yes,44.0
91,13,18.0,Yes,26.0
91,18,29.0,No,51.0
83,10,16.0,No,66.0
100,20,30.0,Yes,32.0
71,14,20.0,No,57.0
98,17,25.0,Yes,45.0
61,17,26.0,No,50.0
62,15,22.0,No,33.0
96,13,18.0,No,35.0
76,19,26.0,No,46.0
61,13,20.0,Yes,43.0
61,13,20.0,No,46.0
87,18,27.0,No,30.0
82,15,26.0,No,51.0
96,19,25.0,Yes,49.0
91,15,23.0,No,56.0
92,13,16.0,Yes,48.0
60,16,24.0,Yes,68.0
78,14,22.0,No,65.0
61,13,19.0,Yes,45.0
85,17,22.0,No,45.0
91,20,30.0,No,37.0
65,14,21.0,No,31.0
91,12,20.0,No,43.0
63,15,20.0,No,39.0
70,17,28.0,No,37.0
76,16,19.0,No,49.0
97,19,26.0,Yes,29.0
83,17,26.0,Yes,33.0
64,12,19.0,No,25.0
93,14,24.0,No,31.0
65,11,17.0,Yes,39.0
81,18,27.0,No,53.0
70,9,14.0,Yes,64.0
75,11,12.0,Yes,28.0
92,13,17.0,No,54.0
68,17,23.0,No,35.0
65,13,21.0,Yes,47.0
75,14,24.0,Yes,51.0
88,14,25.0,No,59.0
62,16,25.0,No,69.0
79,11,18.0,Yes,55.0
95,12,18.0,Yes,40.0
78,20,29.0,Yes,30.0
85,16,22.0,No,47.0
62,17,23.0,No,51.0
78,15,20.0,No,33.0
79,15,24.0,Yes,53.0
91,16,23.0,Yes,41.0
66,17,24.0,No,34.0
100,18,23.0,Yes,46.0
92,15,21.0,Yes,36.0
99,18,26.0,Yes,33.0
77,18,30.0,Yes,49.0
99,14,18.0,No,41.0
60,17,28.0,No,48.0
70,13,19.0,No,56.0
87,11,15.0,No,53.0
84,16,24.0,No,37.0
82,10,15.0,Yes,45.0
90,14,21.0,Yes,38.0
89,13,18.0,Yes,31.0
94,14,22.0,No,51.0
66,17,25.0,Yes,55.0
75,14,18.0,Yes,40.0
85,16,23.0,Yes,47.0
61,17,28.0,No,60.0
60,13,20.0,Yes,55.0
71,13,20.0,Yes,39.0
64,19,28.0,No,44.0
96,15,22.0,No,38.0
91,17,26.0,Yes,47.0
68,17,25.0,No,45.0
100,11,17.0,Yes,33.0
94,13,20.0,No,40.0
78,16,22.0,Yes,24.0
75,9,15.0,Yes,35.0
62,14,19.0,No,49.0
79,12,16.0,No,46.0
83,18,27.0,No,54.0
92,16,25.0,No,46.0
83,19,30.0,Yes,43.0
70,15,18.0,No,64.0
67,15,24.0,Yes,42.0
95,14,22.0,Yes,41.0
97,13,18.0,Yes,45.0
99,20,30.0,No,37.0
79,17,26.0,Yes,48.0
94,12,11.0,Yes,38.0
84,20,27.0,No,41.0
94,14,23.0,Yes,38.0
84,16,23.0,Yes,27.0
88,18,27.0,Yes,21.0
77,10,15.0,No,31.0
77,13,21.0,Yes,56.0
61,20,29.0,Yes,46.0
94,14,20.0,Yes,40.0
75,18,27.0,No,35.0
100,14,23.0,No,58.0
95,15,25.0,No,39.0
92,20,29.0,Yes,37.0
63,16,23.0,Yes,26.0
92,14,21.0,Yes,23.0
73,13,22.0,Yes,50.0
80,13,21.0,Yes,62.0
79,19,28.0,No,48.0
67,17,22.0,Yes,48.0
66,12,20.0,Yes,63.0
62,15,25.0,No,50.0
76,15,20.0,No,45.0
92,16,23.0,Yes,51.0
71,13,21.0,No,54.0
81,18,28.0,No,50.0
81,15,19.0,No,40.0
89,16,22.0,Yes,49.0
97,13,21.0,No,38.0
97,13,20.0,Yes,45.0
67,20,30.0,No,49.0
86,20,30.0,Yes,63.0
86,15,23.0,Yes,49.0
93,20,30.0,Yes,45.0
80,19,27.0,No,41.0
89,13,20.0,No,39.0
92,13,20.0,No,41.0
87,17,29.0,Yes,45.0
92,16,22.0,No,54.0
64,14,22.0,No,32.0
78,17,25.0,Yes,53.0
63,11,18.0,No,39.0
94,15,22.0,Yes,38.0
76,11,19.0,No,50.0
87,11,15.0,Yes,41.0
89,13,20.0,Yes,50.0
88,16,25.0,No,49.0
65,13,18.0,Yes,53.0
94,11,17.0,No,58.0
100,16,26.0,No,28.0
96,19,28.0,No,47.0
83,17,27.0,No,38.0
88,20,29.0,Yes,49.0
90,19,26.0,Yes,31.0
94,14,22.0,Yes,46.0
92,17,24.0,No,26.0
80,15,19.0,No,45.0
91,18,25.0,Yes,45.0
82,15,25.0,Yes,38.0
92,13,22.0,No,41.0
62,19,26.0,No,41.0
77,16,21.0,No,30.0
84,13,19.0,Yes,32.0
90,14,23.0,No,47.0
62,13,19.0,Yes,56.0
99,12,18.0,No,53.0
83,14,20.0,Yes,25.0
91,16,23.0,No,57.0
81,15,24.0,Yes,58.0
82,14,21.0,Yes,38.0
61,19,28.0,Yes,38.0
86,9,15.0,No,40.0
61,16,24.0,Yes,48.0
85,15,24.0,Yes,42.0
76,12,17.0,No,49.0
99,16,25.0,Yes,32.0
92,14,23.0,Yes,34.0
68,19,30.0,No,36.0
98,18,25.0,Yes,37.0
88,20,30.0,No,49.0
85,14,18.0,Yes,47.0
94,19,27.0,No,52.0
84,12,18.0,Yes,56.0
83,15,18.0,Yes,49.0
72,14,22.0,Yes,27.0
66,17,27.0,No,41.0
95,17,25.0,Yes,42.0
79,12,16.0,Yes,48.0
60,17,25.0,No,36.0
67,14,25.0,No,60.0
75,13,18.0,No,41.0
73,15,21.0,Yes,42.0
71,11,12.0,Yes,43.0
82,18,29.0,Yes,40.0
74,15,20.0,No,28.0
87,15,23.0,No,57.0
93,15,27.0,Yes,39.0
61,20,30.0,Yes,51.0
91,20,30.0,No,41.0
82,19,28.0,No,39.0
81,15,23.0,No,33.0
84,12,18.0,Yes,27.0
81,15,24.0,No,41.0
81,16,19.0,No,40.0
65,17,26.0,No,59.0
74,16,25.0,No,46.0
96,12,23.0,Yes,56.0
92,13,19.0,No,30.0
67,13,20.0,Yes,46.0
64,17,26.0,Yes,51.0
98,17,26.0,No,46.0
63,17,23.0,No,47.0
65,16,26.0,Yes,43.0
91,9,12.0,No,33.0
89,10,16.0,Yes,31.0
94,15,21.0,No,52.0
99,15,22.0,Yes,38.0
75,19,28.0,Yes,41.0
72,15,22.0,Yes,38.0
89,12,18.0,No,36.0
78,17,26.0,Yes,30.0
76,15,22.0,Yes,60.0
78,14,23.0,No,25.0
87,10,14.0,No,52.0
85,15,23.0,Yes,56.0
96,16,22.0,Yes,46.0
85,12,22.0,No,43.0
82,17,26.0,Yes,47.0
68,17,24.0,No,41.0
71,15,26.0,No,55.0
60,15,24.0,No,56.0
60,18,26.0,Yes,50.0
93,16,24.0,No,28.0
91,13,17.0,Yes,52.0
84,14,19.0,Yes,58.0
99,17,28.0,No,51.0
60,9,12.0,No,55.0
75,12,15.0,No,38.0
98,17,27.0,No,40.0
64,19,30.0,Yes,58.0
81,18,29.0,Yes,52.0
88,18,30.0,No,43.0
62,15,27.0,Yes,42.0
71,12,16.0,No,45.0
85,14,20.0,Yes,42.0
75,9,10.0,Yes,45.0
96,19,26.0,Yes,70.0
81,13,22.0,No,38.0
88,13,20.0,Yes,27.0
73,18,30.0,Yes,38.0
87,10,13.0,Yes,51.0
64,11,15.0,Yes,51.0
89,16,25.0,No,34.0
64,17,28.0,Yes,41.0
71,15,19.0,No,54.0
75,15,22.0,No,44.0
85,19,29.0,Yes,35.0
85,17,27.0,Yes,37.0
80,17,27.0,No,59.0
98,17,25.0,No,40.0
95,14,19.0,No,46.0
92,20,26.0,Yes,29.0
89,8,12.0,Yes,43.0
96,19,28.0,No,70.0
82,18,25.0,No,63.0
69,16,26.0,No,48.0
64,15,20.0,Yes,61.0
95,15,21.0,Yes,51.0
93,18,29.0,No,68.0
90,15,21.0,Yes,52.0
69,13,20.0,No,58.0
78,18,27.0,Yes,24.0
91,20,30.0,No,49.0
60,9,15.0,Yes,39.0
64,20,30.0,Yes,51.0
63,12,15.0,Yes,50.0
75,12,16.0,Yes,59.0
83,11,17.0,Yes,55.0
75,15,21.0,Yes,31.0
61,11,18.0,Yes,26.0
87,12,19.0,No,43.0
91,13,16.0,No,53.0
86,15,26.0,No,51.0
79,16,23.0,Yes,46.0
83,19,28.0,Yes,51.0
71,19,29.0,Yes,53.0
94,18,27.0,No,46.0
92,14,23.0,No,51.0
92,9,11.0,No,52.0
96,9,16.0,No,45.0
71,18,28.0,No,60.0
62,18,25.0,No,33.0
60,13,20.0,Yes,62.0
92,11,19.0,No,55.0
99,12,19.0,Yes,67.0
69,16,24.0,No,30.0
88,16,25.0,No,41.0
72,18,28.0,Yes,50.0
71,14,20.0,Yes,48.0
90,14,21.0,Yes,41.0
61,18,29.0,No,48.0
94,9,14.0,No,57.0
82,16,23.0,Yes,46.0
76,14,22.0,No,31.0
85,17,25.0,Yes,66.0
67,17,27.0,No,35.0
88,13,22.0,No,33.0
85,13,21.0,No,38.0
69,8,10.0,Yes,39.0
85,17,26.0,No,48.0
93,16,19.0,Yes,70.0
100,19,28.0,Yes,36.0
66,14,23.0,Yes,56.0
63,18,28.0,Yes,65.0
70,12,18.0,Yes,41.0
88,7,15.0,Yes,44.0
95,15,19.0,Yes,48.0
84,13,17.0,Yes,40.0
80,12,19.0,Yes,27.0
95,18,29.0,No,59.0
69,19,30.0,Yes,47.0
96,15,21.0,No,39.0
68,14,19.0,Yes,45.0
83,15,21.0,No,42.0
94,13,20.0,No,51.0
94,17,24.0,No,36.0
95,10,17.0,No,41.0
77,12,18.0,No,46.0
98,13,18.0,No,25.0
91,17,24.0,Yes,43.0
83,14,18.0,Yes,38.0
82,19,27.0,Yes,51.0
91,17,24.0,Yes,47.0
96,13,20.0,Yes,58.0
71,17,25.0,Yes,25.0
72,14,19.0,No,39.0
82,16,22.0,Yes,47.0
84,18,27.0,No,58.0
94,18,23.0,No,34.0
100,16,23.0,No,37.0
89,20,30.0,No,58.0
76,16,24.0,No,68.0
79,15,23.0,No,62.0
84,14,21.0,Yes,62.0
81,13,17.0,No,49.0
72,16,28.0,No,46.0
78,15,22.0,Yes,64.0
95,16,24.0,Yes,42.0
71,16,23.0,Yes,35.0
100,16,26.0,Yes,48.0
78,20,27.0,Yes,41.0
71,13,22.0,Yes,37.0
68,16,23.0,Yes,54.0
66,14,20.0,No,42.0
87,8,11.0,Yes,47.0
73,14,25.0,No,50.0
90,12,15.0,Yes,27.0
78,15,21.0,Yes,57.0
75,15,20.0,No,68.0
64,16,20.0,Yes,58.0
71,14,21.0,Yes,47.0
84,17,23.0,Yes,26.0
80,13,21.0,Yes,57.0
95,9,13.0,Yes,57.0
82,15,21.0,Yes,49.0
98,17,25.0,Yes,45.0
98,16,22.0,No,34.0
73,19,30.0,No,46.0
90,18,27.0,No,45.0
64,14,22.0,No,55.0
94,16,23.0,No,43.0
82,16,26.0,No,62.0
88,15,23.0,No,49.0
70,18,29.0,Yes,40.0
77,15,25.0,Yes,44.0
71,13,22.0,Yes,58.0
68,7,11.0,No,59.0
76,11,16.0,No,33.0
97,15,21.0,No,39.0
66,11,21.0,Yes,59.0
72,17,24.0,No,58.0
99,18,29.0,No,55.0
68,15,24.0,Yes,56.0
86,12,18.0,No,62.0
61,16,24.0,Yes,51.0
64,20,30.0,No,56.0
88,20,29.0,No,49.0
96,11,17.0,Yes,56.0
97,11,14.0,Yes,40.0
78,10,16.0,Yes,36.0
67,12,18.0,No,38.0
60,16,22.0,No,42.0
81,13,17.0,Yes,53.0
76,12,18.0,Yes,61.0
66,18,27.0,Yes,39.0
84,17,24.0,No,70.0
63,10,16.0,No,43.0
95,18,28.0,Yes,45.0
65,17,26.0,Yes,48.0
90,17,24.0,Yes,39.0
78,13,18.0,No,40.0
98,14,18.0,Yes,42.0
86,9,13.0,Yes,33.0
69,18,28.0,Yes,37.0
85,12,16.0,No,44.0
78,12,17.0,No,41.0
98,12,18.0,Yes,39.0
62,20,30.0,No,55.0
72,13,17.0,Yes,27.0
87,18,30.0,Yes,51.0
79,15,24.0,Yes,47.0
87,13,18.0,Yes,48.0
67,12,16.0,No,33.0
100,13,20.0,Yes,39.0
98,15,23.0,Yes,49.0
60,17,24.0,No,40.0
62,14,19.0,Yes,30.0
72,13,18.0,No,42.0
87,12,18.0,Yes,43.0
84,11,17.0,Yes,52.0
92,11,21.0,Yes,56.0
97,18,23.0,Yes,46.0
65,13,18.0,No,49.0
91,14,20.0,Yes,56.0
80,13,20.0,No,43.0
75,14,22.0,No,50.0
80,16,24.0,No,31.0
70,14,24.0,Yes,39.0
96,16,22.0,No,62.0
95,19,27.0,No,55.0
94,13,17.0,No,53.0
78,14,21.0,Yes,36.0
79,17,25.0,Yes,30.0
77,19,30.0,No,35.0
100,11,20.0,No,46.0
73,10,18.0,Yes,50.0
74,15,20.0,No,61.0
90,15,23.0,No,33.0
60,17,27.0,No,39.0
62,17,27.0,Yes,61.0
75,15,27.0,No,29.0
82,18,27.0,No,47.0
70,13,20.0,Yes,26.0
71,16,28.0,No,42.0
69,11,17.0,Yes,65.0
91,15,21.0,Yes,50.0
75,11,15.0,Yes,58.0
67,12,18.0,No,50.0
97,20,30.0,No,50.0
71,10,17.0,No,29.0
83,14,19.0,No,66.0
87,17,26.0,No,61.0
67,20,29.0,No,38.0
87,16,24.0,No,60.0
95,16,26.0,No,56.0
85,15,22.0,Yes,52.0
67,18,28.0,No,47.0
87,16,25.0,No,44.0
87,13,18.0,Yes,62.0
96,18,29.0,No,46.0
100,14,19.0,Yes,50.0
95,10,12.0,No,62.0
86,10,14.0,No,57.0
76,14,19.0,Yes,33.0
68,15,24.0,Yes,39.0
92,18,30.0,No,37.0
79,17,28.0,Yes,49.0
72,15,21.0,No,40.0
87,18,25.0,No,41.0
88,15,24.0,No,43.0
72,11,14.0,No,49.0
94,10,13.0,No,42.0
65,19,29.0,No,55.0
77,8,11.0,Yes,34.0
64,14,21.0,Yes,30.0
84,20,29.0,Yes,38.0
61,16,24.0,No,35.0
69,14,23.0,Yes,46.0
89,10,16.0,No,41.0
64,20,30.0,Yes,32.0
92,19,30.0,No,32.0
60,17,27.0,No,47.0
77,15,22.0,No,54.0
91,17,23.0,No,38.0
70,15,22.0,No,44.0
80,12,19.0,Yes,39.0
85,18,27.0,No,43.0
84,15,23.0,Yes,63.0
81,17,30.0,No,70.0
86,15,21.0,No,41.0
72,16,23.0,No,40.0
92,15,25.0,Yes,49.0
93,15,23.0,No,46.0
100,15,23.0,Yes,52.0
94,20,29.0,No,44.0
60,17,24.0,Yes,43.0
80,20,28.0,Yes,49.0
65,15,23.0,Yes,47.0
87,14,19.0,No,40.0
76,12,16.0,No,46.0
64,20,30.0,Yes,46.0
64,20,28.0,No,44.0
97,12,15.0,No,54.0
62,18,29.0,Yes,41.0
82,10,15.0,Yes,38.0
96,14,20.0,No,38.0
96,15,23.0,Yes,48.0
69,13,20.0,No,35.0
69,14,20.0,No,47.0
78,15,22.0,Yes,47.0
76,17,27.0,Yes,32.0
80,9,15.0,No,54.0
73,13,18.0,No,58.0
68,19,30.0,No,48.0
60,17,30.0,Yes,45.0
72,19,28.0,Yes,40.0
63,17,25.0,No,40.0
60,12,16.0,No,41.0
99,17,24.0,Yes,52.0
91,15,23.0,No,51.0
93,20,30.0,Yes,25.0
87,17,27.0,Yes,30.0
90,17,25.0,No,37.0
67,17,25.0,No,40.0
98,16,23.0,Yes,49.0
85,16,26.0,No,40.0
93,14,21.0,Yes,49.0
62,17,26.0,Yes,61.0
71,18,27.0,Yes,39.0
60,18,30.0,No,36.0
64,18,26.0,No,34.0
89,20,29.0,No,35.0
89,18,26.0,Yes,51.0
76,17,26.0,Yes,53.0
82,12,21.0,Yes,51.0
74,12,19.0,Yes,35.0
96,14,22.0,No,41.0
80,15,24.0,No,41.0
73,19,25.0,No,62.0
61,7,10.0,Yes,48.0
70,12,17.0,Yes,46.0
98,14,21.0,No,48.0
97,12,16.0,Yes,41.0
93,13,21.0,No,49.0
97,14,21.0,Yes,40.0
93,12,18.0,Yes,59.0
77,13,19.0,Yes,36.0
89,19,27.0,Yes,47.0
74,17,22.0,Yes,52.0
86,17,26.0,No,44.0
93,15,23.0,No,46.0
97,18,28.0,No,43.0
92,18,27.0,Yes,36.0
83,17,23.0,No,62.0
74,13,18.0,No,41.0
89,14,24.0,Yes,32.0
76,18,28.0,Yes,38.0
64,13,21.0,No,58.0
88,11,18.0,No,68.0
63,13,18.0,No,49.0
69,20,29.0,No,53.0
76,13,21.0,No,63.0
69,16,22.0,Yes,35.0
76,13,19.0,No,49.0
79,17,24.0,No,63.0
83,17,24.0,No,53.0
64,11,16.0,No,42.0
93,16,23.0,No,49.0
65,10,14.0,No,64.0
61,13,20.0,Yes,47.0
72,15,24.0,Yes,36.0
70,20,30.0,Yes,51.0
82,16,24.0,No,36.0
75,13,23.0,No,38.0
90,14,22.0,Yes,40.0
70,18,29.0,No,45.0
75,13,19.0,No,37.0
67,18,26.0,No,49.0
63,13,20.0,Yes,42.0
99,12,20.0,Yes,53.0
63,14,21.0,Yes,45.0
84,10,14.0,No,43.0
91,15,19.0,Yes,60.0
62,15,23.0,Yes,54.0
86,16,26.0,No,31.0
88,15,18.0,Yes,40.0
91,20,29.0,Yes,46.0
78,16,22.0,No,23.0
80,11,17.0,Yes,49.0
64,12,17.0,No,37.0
77,15,20.0,No,38.0
87,14,20.0,Yes,38.0
81,11,15.0,Yes,58.0
80,15,23.0,Yes,51.0
65,15,22.0,No,40.0
60,20,30.0,Yes,39.0
64,12,18.0,Yes,47.0
100,14,23.0,Yes,61.0
71,20,29.0,No,42.0
85,16,25.0,No,26.0
93,12,19.0,No,47.0
73,13,19.0,Yes,48.0
85,11,18.0,Yes,49.0
86,15,21.0,No,45.0
68,18,29.0,Yes,46.0
85,20,28.0,Yes,35.0
81,11,14.0,No,56.0
89,18,24.0,No,40.0
76,15,23.0,No,42.0
85,14,20.0,Yes,49.0
95,14,21.0,Yes,47.0
60,9,11.0,Yes,61.0
67,17,26.0,No,58.0
94,11,17.0,No,40.0
74,13,19.0,Yes,65.0
81,16,25.0,No,54.0
73,10,16.0,No,46.0
85,11,17.0,Yes,38.0
87,19,30.0,No,44.0
82,15,25.0,Yes,26.0
73,13,18.0,No,50.0
83,15,25.0,Yes,32.0
61,17,24.0,No,50.0
85,18,29.0,Yes,40.0
73,12,20.0,No,46.0
66,12,18.0,No,39.0
62,17,25.0,No,38.0
82,17,25.0,No,52.0
77,11,15.0,No,39.0
97,12,17.0,Yes,36.0
94,14,22.0,Yes,34.0
74,15,24.0,Yes,54.0
84,15,22.0,No,34.0
96,11,14.0,Yes,45.0
87,15,20.0,No,67.0
69,13,19.0,No,38.0
98,12,17.0,Yes,37.0
76,15,25.0,Yes,56.0
98,15,21.0,No,33.0
81,17,27.0,No,56.0
85,12,17.0,Yes,41.0
84,16,23.0,Yes,54.0
76,10,15.0,No,49.0
72,14,22.0,No,51.0
79,16,25.0,Yes,41.0
84,17,24.0,No,41.0
63,17,26.0,No,40.0
69,17,25.0,Yes,58.0
62,14,18.0,Yes,45.0
100,16,24.0,No,64.0
77,20,30.0,No,47.0
95,14,24.0,Yes,43.0
81,19,29.0,No,43.0
93,18,28.0,Yes,38.0
67,14,16.0,No,47.0
99,14,26.0,Yes,44.0
78,15,25.0,No,39.0
100,17,27.0,No,44.0
96,16,24.0,No,40.0
65,14,17.0,Yes,48.0
85,9,14.0,Yes,52.0
93,17,26.0,Yes,39.0
65,9,11.0,No,40.0
96,11,17.0,No,36.0
92,14,23.0,Yes,56.0
81,11,17.0,Yes,27.0
80,16,25.0,No,38.0
65,14,22.0,No,52.0
65,17,25.0,No,39.0
63,10,17.0,No,38.0
89,13,23.0,Yes,52.0
70,15,23.0,Yes,22.0
89,15,21.0,No,45.0
90,17,23.0,No,39.0
83,12,19.0,No,40.0
68,14,22.0,Yes,56.0
62,17,26.0,Yes,45.0
90,8,12.0,No,33.0
99,16,25.0,No,30.0
96,17,24.0,No,44.0
95,11,15.0,No,31.0
83,14,19.0,No,57.0
90,19,27.0,No,34.0
65,17,27.0,Yes,45.0
61,16,23.0,Yes,26.0
79,18,26.0,Yes,26.0
87,20,27.0,No,43.0
70,15,24.0,No,70.0
63,14,23.0,No,39.0
74,18,25.0,Yes,52.0
65,14,21.0,No,40.0
89,12,16.0,Yes,55.0
97,13,19.0,No,44.0
61,16,25.0,No,33.0
74,14,24.0,No,43.0
70,14,20.0,Yes,27.0
67,12,19.0,Yes,36.0
85,19,30.0,Yes,49.0
64,14,21.0,No,38.0
65,13,22.0,Yes,41.0
85,13,19.0,No,54.0
63,17,26.0,No,40.0
78,17,24.0,Yes,50.0
79,13,21.0,Yes,39.0
92,15,23.0,No,54.0
79,16,26.0,No,58.0
71,13,23.0,No,25.0
60,10,17.0,No,35.0
85,17,27.0,Yes,43.0
73,13,19.0,Yes,38.0
97,16,19.0,Yes,54.0
96,16,27.0,No,47.0
70,15,26.0,No,36.0
95,14,22.0,No,59.0
72,13,17.0,Yes,59.0
62,12,21.0,No,32.0
92,13,22.0,No,39.0
65,17,21.0,Yes,53.0
69,19,29.0,Yes,54.0
64,19,29.0,No,59.0
82,15,19.0,Yes,70.0
69,19,26.0,No,49.0
61,14,23.0,Yes,58.0
72,11,17.0,No,70.0
99,20,28.0,Yes,45.0
61,17,24.0,Yes,37.0
79,10,13.0,Yes,48.0
60,20,30.0,Yes,61.0
96,13,21.0,No,63.0
68,13,22.0,No,46.0
76,18,26.0,Yes,43.0
68,19,28.0,No,32.0
70,12,19.0,Yes,46.0
74,19,30.0,Yes,33.0
83,18,28.0,No,35.0
97,13,22.0,No,47.0
94,14,25.0,No,32.0
89,20,27.0,No,49.0
90,10,18.0,No,54.0
64,19,30.0,No,34.0
73,18,25.0,No,39.0
70,17,26.0,Yes,31.0
68,15,24.0,No,51.0
93,20,28.0,Yes,30.0
71,20,30.0,No,52.0
94,13,20.0,No,48.0
94,17,23.0,Yes,67.0
60,20,29.0,Yes,62.0
99,13,22.0,Yes,33.0
81,16,27.0,Yes,63.0
88,18,25.0,No,40.0
70,17,28.0,Yes,40.0
100,12,22.0,Yes,42.0
96,16,26.0,No,67.0
89,8,10.0,Yes,64.0
94,17,27.0,No,53.0
80,20,30.0,No,47.0
96,13,18.0,Yes,39.0
64,17,26.0,Yes,44.0
78,19,28.0,Yes,54.0
73,10,17.0,Yes,55.0
85,17,21.0,No,37.0
63,18,28.0,Yes,53.0
84,17,25.0,No,39.0
84,15,26.0,No,43.0
77,12,19.0,No,58.0
99,19,30.0,No,53.0
67,15,21.0,Yes,29.0
98,12,18.0,No,46.0
99,14,22.0,Yes,49.0
73,16,23.0,No,46.0
91,10,15.0,Yes,20.0
97,15,23.0,No,31.0
92,14,18.0,No,27.0
82,19,27.0,Yes,39.0
74,9,15.0,Yes,46.0
